Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Postal_Code
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,77041
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,77041
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,77041
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,77041
CA-2018-120999,10-09-2018,15-09-2018,Standard Class,LC-16930,60540
CA-2017-101343,17-07-2017,22-07-2017,Standard Class,RA-19885,90049
CA-2018-139619,19-09-2018,23-09-2018,Standard Class,ES-14080,32935
CA-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,55122
CA-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,55122
CA-2015-146703,20-10-2015,25-10-2015,Second Class,PO-18865,48185
CA-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,19901
CA-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,19901
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,47150
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,47150
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,47150
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,47150
CA-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,10024
CA-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,10024
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,12180
CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,90004
CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,90004
CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,90004
CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,90004
US-2016-164175,30-04-2016,05-05-2016,Standard Class,PS-18970,60610
CA-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,85234
CA-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,85234
CA-2017-119823,04-06-2017,06-06-2017,First Class,KD-16270,22153
CA-2017-106075,18-09-2017,23-09-2017,Standard Class,HM-14980,10009
CA-2018-114440,14-09-2018,17-09-2018,Second Class,TB-21520,49201
US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,38109
US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,38109
US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,38109
US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,77041
US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,77041
US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,77041
US-2015-147606,26-11-2015,01-12-2015,Second Class,JE-15745,77070
CA-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,35601
CA-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,35601
CA-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,94122
CA-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,94122
CA-2016-149734,03-09-2016,08-09-2016,Standard Class,JC-16105,27707
US-2018-119662,13-11-2018,16-11-2018,First Class,CS-12400,60623
CA-2018-140088,28-05-2018,30-05-2018,Second Class,PO-18865,29203
CA-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,55901
CA-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,55901
CA-2017-159695,05-04-2017,10-04-2017,Second Class,GM-14455,77095
CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,90036
CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,90036
CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,90036
CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,55407
CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,55407
CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,55407
US-2018-109484,06-11-2018,12-11-2018,Standard Class,RB-19705,97206
CA-2018-161018,09-11-2018,11-11-2018,Second Class,PN-18775,10009
CA-2018-157833,17-06-2018,20-06-2018,First Class,KD-16345,94122
CA-2017-149223,06-09-2017,11-09-2017,Standard Class,ER-13855,55106
CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,60610
CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,60610
CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,60610
CA-2017-129903,01-12-2017,04-12-2017,Second Class,GZ-14470,55901
US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,80013
US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,80013
US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,80013
CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,28205
CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,28205
CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,28205
CA-2016-129476,15-10-2016,20-10-2016,Standard Class,PA-19060,60462
CA-2018-146780,25-12-2018,30-12-2018,Standard Class,CV-12805,10035
CA-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,50322
CA-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,50322
CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,43229
CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,43229
CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,43229
CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,43229
CA-2016-110457,02-03-2016,06-03-2016,Standard Class,DK-13090,98103
US-2016-136476,05-04-2016,10-04-2016,Standard Class,GG-14650,37620
CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,19805
CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,19805
CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,19805
CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,19805
CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,19805
US-2015-152030,26-12-2015,28-12-2015,Second Class,AD-10180,77041
US-2015-134614,20-09-2015,25-09-2015,Standard Class,PF-19165,61701
US-2018-107272,05-11-2018,12-11-2018,Standard Class,TS-21610,85023
US-2018-107272,05-11-2018,12-11-2018,Standard Class,TS-21610,85023
US-2017-125969,06-11-2017,10-11-2017,Second Class,LS-16975,90004
US-2017-125969,06-11-2017,10-11-2017,Second Class,LS-16975,90004
US-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,43229
US-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,43229
US-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,43229
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,95661
CA-2017-110366,05-09-2017,07-09-2017,Second Class,JD-15895,19140
CA-2018-106180,18-09-2018,23-09-2018,Standard Class,SH-19975,94122
CA-2018-106180,18-09-2018,23-09-2018,Standard Class,SH-19975,94122
CA-2018-106180,18-09-2018,23-09-2018,Standard Class,SH-19975,94122
CA-2018-155376,22-12-2018,27-12-2018,Standard Class,SG-20080,64055
CA-2016-110744,07-09-2016,12-09-2016,Standard Class,HA-14920,91104
CA-2015-110072,22-10-2015,28-10-2015,Standard Class,MG-17680,43055
CA-2017-114489,05-12-2017,09-12-2017,Standard Class,JE-16165,53132
CA-2017-114489,05-12-2017,09-12-2017,Standard Class,JE-16165,53132
CA-2017-114489,05-12-2017,09-12-2017,Standard Class,JE-16165,53132
CA-2017-114489,05-12-2017,09-12-2017,Standard Class,JE-16165,53132
CA-2017-158834,13-03-2017,16-03-2017,First Class,TW-21025,85254
CA-2017-158834,13-03-2017,16-03-2017,First Class,TW-21025,85254
CA-2016-124919,31-05-2016,02-06-2016,First Class,SP-20650,95123
CA-2016-124919,31-05-2016,02-06-2016,First Class,SP-20650,95123
CA-2016-124919,31-05-2016,02-06-2016,First Class,SP-20650,95123
CA-2016-118948,28-05-2016,03-06-2016,Standard Class,NK-18490,98105
CA-2015-104269,01-03-2015,06-03-2015,Second Class,DB-13060,98115
CA-2017-114104,20-11-2017,24-11-2017,Standard Class,NP-18670,73034
CA-2017-114104,20-11-2017,24-11-2017,Standard Class,NP-18670,73034
CA-2017-162733,11-05-2017,12-05-2017,First Class,TT-21070,90045
CA-2016-119697,28-12-2016,31-12-2016,Second Class,EM-13960,19134
CA-2017-154508,16-11-2017,20-11-2017,Standard Class,RD-19900,88220
CA-2017-113817,07-11-2017,11-11-2017,Standard Class,MJ-17740,98115
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-139892,08-09-2015,12-09-2015,Standard Class,BM-11140,78207
CA-2015-118962,05-08-2015,09-08-2015,Standard Class,CS-12130,90004
CA-2015-118962,05-08-2015,09-08-2015,Standard Class,CS-12130,90004
CA-2015-118962,05-08-2015,09-08-2015,Standard Class,CS-12130,90004
US-2015-100853,14-09-2015,19-09-2015,Standard Class,JB-15400,60623
US-2015-100853,14-09-2015,19-09-2015,Standard Class,JB-15400,60623
US-2018-152366,21-04-2018,25-04-2018,Second Class,SJ-20500,77036
US-2016-101511,21-11-2016,23-11-2016,Second Class,JE-15745,43055
US-2016-101511,21-11-2016,23-11-2016,Second Class,JE-15745,43055
CA-2016-137225,15-12-2016,19-12-2016,Standard Class,JK-15640,10009
CA-2015-166191,05-12-2015,09-12-2015,Second Class,DK-13150,62521
CA-2015-166191,05-12-2015,09-12-2015,Second Class,DK-13150,62521
CA-2015-158274,19-11-2015,24-11-2015,Second Class,RM-19675,71203
CA-2015-158274,19-11-2015,24-11-2015,Second Class,RM-19675,71203
CA-2015-158274,19-11-2015,24-11-2015,Second Class,RM-19675,71203
CA-2017-105018,28-11-2017,02-12-2017,Standard Class,SK-19990,6824
CA-2015-123260,26-08-2015,30-08-2015,Standard Class,FM-14290,90032
CA-2017-157000,16-07-2017,22-07-2017,Standard Class,AM-10360,75051
CA-2017-157000,16-07-2017,22-07-2017,Standard Class,AM-10360,75051
CA-2016-102281,12-10-2016,14-10-2016,First Class,MP-17470,10035
CA-2016-102281,12-10-2016,14-10-2016,First Class,MP-17470,10035
CA-2016-102281,12-10-2016,14-10-2016,First Class,MP-17470,10035
CA-2016-102281,12-10-2016,14-10-2016,First Class,MP-17470,10035
CA-2016-102281,12-10-2016,14-10-2016,First Class,MP-17470,10035
CA-2016-131457,31-10-2016,06-11-2016,Standard Class,MZ-17515,92374
CA-2015-140004,21-03-2015,25-03-2015,Standard Class,CB-12025,45011
CA-2015-140004,21-03-2015,25-03-2015,Standard Class,CB-12025,45011
CA-2018-107720,06-11-2018,13-11-2018,Standard Class,VM-21685,7090
US-2018-124303,06-07-2018,13-07-2018,Standard Class,FH-14365,19120
US-2018-124303,06-07-2018,13-07-2018,Standard Class,FH-14365,19120
CA-2018-105074,24-06-2018,29-06-2018,Standard Class,MB-17305,44312
CA-2015-133690,03-08-2015,05-08-2015,First Class,BS-11755,80219
CA-2015-133690,03-08-2015,05-08-2015,First Class,BS-11755,80219
US-2018-116701,17-12-2018,21-12-2018,Second Class,LC-17140,75220
CA-2018-126382,03-06-2018,07-06-2018,Standard Class,HK-14890,37064
CA-2018-108329,09-12-2018,14-12-2018,Standard Class,LE-16810,90604
CA-2018-135860,01-12-2018,07-12-2018,Standard Class,JH-15985,48601
CA-2018-135860,01-12-2018,07-12-2018,Standard Class,JH-15985,48601
CA-2018-135860,01-12-2018,07-12-2018,Standard Class,JH-15985,48601
CA-2018-135860,01-12-2018,07-12-2018,Standard Class,JH-15985,48601
CA-2018-135860,01-12-2018,07-12-2018,Standard Class,JH-15985,48601
CA-2016-101007,09-02-2016,13-02-2016,Second Class,MS-17980,75220
CA-2016-146262,02-01-2016,09-01-2016,Standard Class,VW-21775,44256
CA-2016-146262,02-01-2016,09-01-2016,Standard Class,VW-21775,44256
CA-2016-146262,02-01-2016,09-01-2016,Standard Class,VW-21775,44256
CA-2016-146262,02-01-2016,09-01-2016,Standard Class,VW-21775,44256
CA-2016-146262,02-01-2016,09-01-2016,Standard Class,VW-21775,44256
CA-2017-130162,28-10-2017,01-11-2017,Standard Class,JH-15910,90032
CA-2017-130162,28-10-2017,01-11-2017,Standard Class,JH-15910,90032
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-169397,24-12-2016,27-12-2016,First Class,JB-15925,43017
CA-2016-163055,09-08-2016,16-08-2016,Standard Class,DS-13180,48227
CA-2016-163055,09-08-2016,16-08-2016,Standard Class,DS-13180,48227
CA-2016-163055,09-08-2016,16-08-2016,Standard Class,DS-13180,48227
US-2016-145436,28-02-2016,04-03-2016,Standard Class,VD-21670,38401
US-2016-145436,28-02-2016,04-03-2016,Standard Class,VD-21670,38401
US-2015-156216,13-09-2015,17-09-2015,Standard Class,EA-14035,28205
US-2018-100930,07-04-2018,12-04-2018,Standard Class,CS-12400,33614
US-2018-100930,07-04-2018,12-04-2018,Standard Class,CS-12400,33614
US-2018-100930,07-04-2018,12-04-2018,Standard Class,CS-12400,33614
US-2018-100930,07-04-2018,12-04-2018,Standard Class,CS-12400,33614
US-2018-100930,07-04-2018,12-04-2018,Standard Class,CS-12400,33614
CA-2018-160514,12-11-2018,16-11-2018,Standard Class,DB-13120,95051
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2017-157749,04-06-2017,09-06-2017,Second Class,KL-16645,60610
CA-2015-131926,01-06-2015,06-06-2015,Second Class,DW-13480,55044
CA-2015-131926,01-06-2015,06-06-2015,Second Class,DW-13480,55044
CA-2015-131926,01-06-2015,06-06-2015,Second Class,DW-13480,55044
CA-2015-131926,01-06-2015,06-06-2015,Second Class,DW-13480,55044
CA-2015-131926,01-06-2015,06-06-2015,Second Class,DW-13480,55044
CA-2017-154739,10-12-2017,15-12-2017,Second Class,LH-17155,94109
CA-2017-145625,11-09-2017,17-09-2017,Standard Class,KC-16540,92037
CA-2017-145625,11-09-2017,17-09-2017,Standard Class,KC-16540,92037
CA-2017-146941,10-12-2017,13-12-2017,First Class,DL-13315,10024
CA-2017-146941,10-12-2017,13-12-2017,First Class,DL-13315,10024
US-2016-159982,28-11-2016,04-12-2016,Standard Class,DR-12880,60623
US-2016-159982,28-11-2016,04-12-2016,Standard Class,DR-12880,60623
US-2016-159982,28-11-2016,04-12-2016,Standard Class,DR-12880,60623
US-2016-159982,28-11-2016,04-12-2016,Standard Class,DR-12880,60623
CA-2018-163139,01-12-2018,03-12-2018,Second Class,CC-12670,10009
CA-2018-163139,01-12-2018,03-12-2018,Second Class,CC-12670,10009
CA-2018-163139,01-12-2018,03-12-2018,Second Class,CC-12670,10009
US-2018-155299,08-06-2018,12-06-2018,Standard Class,Dl-13600,77506
US-2015-106992,19-09-2015,21-09-2015,Second Class,SB-20290,77036
US-2015-106992,19-09-2015,21-09-2015,Second Class,SB-20290,77036
CA-2017-125318,06-06-2017,13-06-2017,Standard Class,RC-19825,60610
CA-2016-155040,10-11-2016,15-11-2016,Standard Class,AH-10210,94513
CA-2018-136826,16-06-2018,20-06-2018,Standard Class,CB-12535,27514
CA-2017-111010,22-01-2017,28-01-2017,Standard Class,PG-18895,7960
US-2018-145366,09-12-2018,13-12-2018,Standard Class,CA-12310,45231
US-2018-145366,09-12-2018,13-12-2018,Standard Class,CA-12310,45231
CA-2018-163979,28-12-2018,02-01-2019,Second Class,KH-16690,94110
CA-2016-155334,30-07-2016,31-07-2016,First Class,HA-14920,94109
CA-2016-155334,30-07-2016,31-07-2016,First Class,HA-14920,94109
CA-2016-155334,30-07-2016,31-07-2016,First Class,HA-14920,94109
CA-2018-118136,16-09-2018,17-09-2018,First Class,BB-10990,90301
CA-2018-118136,16-09-2018,17-09-2018,First Class,BB-10990,90301
CA-2018-132976,13-10-2018,17-10-2018,Standard Class,AG-10495,19140
CA-2018-132976,13-10-2018,17-10-2018,Standard Class,AG-10495,19140
CA-2018-132976,13-10-2018,17-10-2018,Standard Class,AG-10495,19140
CA-2018-132976,13-10-2018,17-10-2018,Standard Class,AG-10495,19140
US-2016-161991,26-09-2016,28-09-2016,Second Class,SC-20725,77070
US-2016-161991,26-09-2016,28-09-2016,Second Class,SC-20725,77070
CA-2016-130890,02-11-2016,06-11-2016,Standard Class,JO-15280,90004
CA-2016-130883,26-09-2016,02-10-2016,Standard Class,TB-21520,97206
CA-2016-130883,26-09-2016,02-10-2016,Standard Class,TB-21520,97206
CA-2016-130883,26-09-2016,02-10-2016,Standard Class,TB-21520,97206
CA-2017-112697,18-12-2017,20-12-2017,Second Class,AH-10195,33319
CA-2017-112697,18-12-2017,20-12-2017,Second Class,AH-10195,33319
CA-2017-112697,18-12-2017,20-12-2017,Second Class,AH-10195,33319
CA-2017-110772,20-11-2017,24-11-2017,Second Class,NZ-18565,43229
CA-2017-110772,20-11-2017,24-11-2017,Second Class,NZ-18565,43229
CA-2017-110772,20-11-2017,24-11-2017,Second Class,NZ-18565,43229
CA-2017-110772,20-11-2017,24-11-2017,Second Class,NZ-18565,43229
CA-2015-111451,26-12-2015,28-12-2015,First Class,KL-16555,80906
CA-2015-111451,26-12-2015,28-12-2015,First Class,KL-16555,80906
CA-2015-111451,26-12-2015,28-12-2015,First Class,KL-16555,80906
CA-2015-111451,26-12-2015,28-12-2015,First Class,KL-16555,80906
CA-2015-111451,26-12-2015,28-12-2015,First Class,KL-16555,80906
CA-2017-142545,28-10-2017,03-11-2017,Standard Class,JD-15895,7109
CA-2017-142545,28-10-2017,03-11-2017,Standard Class,JD-15895,7109
CA-2017-142545,28-10-2017,03-11-2017,Standard Class,JD-15895,7109
CA-2017-142545,28-10-2017,03-11-2017,Standard Class,JD-15895,7109
CA-2017-142545,28-10-2017,03-11-2017,Standard Class,JD-15895,7109
US-2018-152380,19-11-2018,23-11-2018,Standard Class,JH-15910,60623
CA-2016-144253,04-05-2016,09-05-2016,Second Class,AS-10225,10024
CA-2015-130960,30-12-2015,04-01-2016,Standard Class,KB-16600,48180
CA-2015-111003,01-06-2015,06-06-2015,Standard Class,CR-12625,8701
CA-2015-111003,01-06-2015,06-06-2015,Standard Class,CR-12625,8701
CA-2018-126774,15-04-2018,17-04-2018,First Class,SH-20395,22204
CA-2017-142902,12-09-2017,14-09-2017,Second Class,BP-11185,80004
CA-2017-142902,12-09-2017,14-09-2017,Second Class,BP-11185,80004
CA-2017-142902,12-09-2017,14-09-2017,Second Class,BP-11185,80004
CA-2017-142902,12-09-2017,14-09-2017,Second Class,BP-11185,80004
CA-2015-120887,27-09-2015,03-10-2015,Standard Class,TS-21205,7601
CA-2015-167850,09-08-2015,16-08-2015,Standard Class,AG-10525,33710
CA-2015-167850,09-08-2015,16-08-2015,Standard Class,AG-10525,33710
CA-2015-164259,28-12-2015,30-12-2015,First Class,SP-20860,19143
CA-2015-164973,04-11-2015,09-11-2015,Standard Class,NM-18445,10024
CA-2015-164973,04-11-2015,09-11-2015,Standard Class,NM-18445,10024
CA-2015-164973,04-11-2015,09-11-2015,Standard Class,NM-18445,10024
CA-2015-164973,04-11-2015,09-11-2015,Standard Class,NM-18445,10024
CA-2015-164973,04-11-2015,09-11-2015,Standard Class,NM-18445,10024
CA-2015-156601,19-09-2015,24-09-2015,Standard Class,FA-14230,90805
CA-2017-162138,23-04-2017,27-04-2017,Standard Class,GK-14620,92345
CA-2017-162138,23-04-2017,27-04-2017,Standard Class,GK-14620,92345
CA-2018-153339,03-11-2018,05-11-2018,Second Class,DJ-13510,37130
US-2017-141544,30-08-2017,01-09-2017,First Class,PO-18850,19143
US-2017-141544,30-08-2017,01-09-2017,First Class,PO-18850,19143
US-2017-141544,30-08-2017,01-09-2017,First Class,PO-18850,19143
US-2017-141544,30-08-2017,01-09-2017,First Class,PO-18850,19143
US-2017-141544,30-08-2017,01-09-2017,First Class,PO-18850,19143
US-2017-150147,25-04-2017,29-04-2017,Second Class,JL-15850,19134
US-2017-150147,25-04-2017,29-04-2017,Second Class,JL-15850,19134
US-2017-150147,25-04-2017,29-04-2017,Second Class,JL-15850,19134
CA-2016-137946,01-09-2016,04-09-2016,Second Class,DB-13615,90045
CA-2016-137946,01-09-2016,04-09-2016,Second Class,DB-13615,90045
CA-2016-137946,01-09-2016,04-09-2016,Second Class,DB-13615,90045
CA-2015-129924,12-07-2015,17-07-2015,Standard Class,AC-10420,94122
CA-2015-129924,12-07-2015,17-07-2015,Standard Class,AC-10420,94122
CA-2016-128167,22-06-2016,26-06-2016,Second Class,KL-16645,84041
CA-2015-122336,13-04-2015,17-04-2015,Second Class,JD-15895,19140
CA-2015-122336,13-04-2015,17-04-2015,Second Class,JD-15895,19140
CA-2015-122336,13-04-2015,17-04-2015,Second Class,JD-15895,19140
CA-2015-122336,13-04-2015,17-04-2015,Second Class,JD-15895,19140
US-2016-120712,20-12-2016,24-12-2016,Standard Class,CS-12130,78745
CA-2018-169901,15-06-2018,19-06-2018,Standard Class,CC-12550,94122
CA-2018-134306,08-07-2018,12-07-2018,Standard Class,TD-20995,1852
CA-2018-134306,08-07-2018,12-07-2018,Standard Class,TD-20995,1852
CA-2018-134306,08-07-2018,12-07-2018,Standard Class,TD-20995,1852
CA-2017-129714,01-09-2017,03-09-2017,First Class,AB-10060,10009
CA-2017-129714,01-09-2017,03-09-2017,First Class,AB-10060,10009
CA-2017-129714,01-09-2017,03-09-2017,First Class,AB-10060,10009
CA-2017-129714,01-09-2017,03-09-2017,First Class,AB-10060,10009
CA-2017-129714,01-09-2017,03-09-2017,First Class,AB-10060,10009
CA-2017-138520,08-04-2017,13-04-2017,Standard Class,JL-15505,10035
CA-2017-138520,08-04-2017,13-04-2017,Standard Class,JL-15505,10035
CA-2017-138520,08-04-2017,13-04-2017,Standard Class,JL-15505,10035
CA-2017-138520,08-04-2017,13-04-2017,Standard Class,JL-15505,10035
CA-2017-130001,23-04-2017,28-04-2017,Standard Class,HK-14890,28205
CA-2018-155698,08-03-2018,11-03-2018,First Class,VB-21745,31907
CA-2018-155698,08-03-2018,11-03-2018,First Class,VB-21745,31907
CA-2018-144904,25-09-2018,01-10-2018,Standard Class,KW-16435,10009
CA-2018-144904,25-09-2018,01-10-2018,Standard Class,KW-16435,10009
CA-2018-144904,25-09-2018,01-10-2018,Standard Class,KW-16435,10009
CA-2018-144904,25-09-2018,01-10-2018,Standard Class,KW-16435,10009
CA-2015-123344,24-09-2015,29-09-2015,Standard Class,JD-16060,94109
CA-2017-155516,21-10-2017,21-10-2017,Same Day,MK-17905,6040
CA-2017-155516,21-10-2017,21-10-2017,Same Day,MK-17905,6040
CA-2017-155516,21-10-2017,21-10-2017,Same Day,MK-17905,6040
CA-2017-155516,21-10-2017,21-10-2017,Same Day,MK-17905,6040
CA-2018-104745,29-05-2018,04-06-2018,Standard Class,GT-14755,78550
CA-2018-104745,29-05-2018,04-06-2018,Standard Class,GT-14755,78550
US-2015-119137,23-07-2015,27-07-2015,Standard Class,AG-10900,85705
US-2015-119137,23-07-2015,27-07-2015,Standard Class,AG-10900,85705
